                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.57857,                0.90821,                0.67935,                 1.0346,                 0.8365,                0.80212,                0.84091,                0.65251,                0.84058,                0.79743,                 0.8298,                0.67753,                0.87118,                 1.4122,                 1.0243,                 1.2781,              0.0004555,              0.0004555,              0.0004555
                     57,                0.54044,                0.82066,                0.65072,                 1.0113,                0.88233,                0.80131,                0.84071,                0.66745,                0.88922,                0.80147,                0.83481,                0.69068,                0.83861,                 1.3929,                 1.0043,                 1.2744,              0.0004456,              0.0004456,              0.0004456
                     58,                0.56854,                0.91735,                0.64916,                 1.0228,                0.84236,                0.80928,                0.84461,                0.67289,                0.83312,                0.80034,                0.83198,                 0.6735,                0.85638,                  1.423,                 1.0205,                 1.3212,              0.0004357,              0.0004357,              0.0004357
                     59,                0.54528,                0.86992,                0.67448,                 1.0077,                0.85707,                0.79661,                0.83982,                0.65766,                0.82694,                0.78025,                0.81591,                0.65204,                0.86747,                  1.553,                  1.048,                 1.3235,              0.0004258,              0.0004258,              0.0004258
                     60,                0.55908,                0.90147,                 0.6677,                 1.0231,                 0.8652,                0.80209,                0.84886,                0.65497,                 0.8852,                0.79023,                0.83818,                0.67896,                0.88659,                 1.5089,                 1.0042,                 1.3321,              0.0004159,              0.0004159,              0.0004159
                     61,                0.55357,                0.87017,                0.64281,                0.99948,                0.87797,                0.80731,                0.85759,                0.66868,                0.87283,                0.80443,                0.84856,                0.67592,                0.84343,                 1.4135,                0.95076,                 1.3146,               0.000406,               0.000406,               0.000406
                     62,                0.53631,                0.85246,                0.63504,                 1.0008,                0.85014,                 0.8404,                0.87589,                0.69184,                0.83955,                0.83103,                0.86038,                0.69461,                0.80705,                 1.3102,                0.90483,                 1.2704,              0.0003961,              0.0003961,              0.0003961
                     63,                0.52213,                0.80105,                0.62535,                0.99813,                0.88038,                0.82064,                0.87862,                0.70134,                0.88421,                0.81325,                0.86914,                0.71105,                0.80883,                 1.2983,                0.90528,                 1.2865,              0.0003862,              0.0003862,              0.0003862
                     64,                0.56398,                0.87573,                0.65505,                 1.0124,                0.83003,                0.81808,                0.87444,                0.69071,                0.78919,                0.84103,                0.86078,                0.70406,                0.84345,                 1.3452,                0.91451,                  1.313,              0.0003763,              0.0003763,              0.0003763
                     65,                0.51884,                0.75745,                0.59598,                0.99874,                0.78195,                0.79711,                0.85143,                0.67432,                0.78186,                0.79118,                0.83915,                0.70123,                0.88526,                  1.297,                0.98461,                 1.3668,              0.0003664,              0.0003664,              0.0003664
                     66,                0.53578,                0.83404,                0.62999,                 1.0014,                0.83219,                 0.8372,                0.86917,                0.68732,                   0.83,                0.83399,                0.86523,                0.71219,                0.80997,                 1.2768,                0.91787,                 1.2772,              0.0003565,              0.0003565,              0.0003565
                     67,                0.53089,                0.86048,                0.62354,                0.98757,                0.85082,                0.77729,                0.85704,                0.68543,                0.84212,                 0.7635,                0.84362,                0.70038,                0.82184,                 1.3377,                0.94614,                 1.2737,              0.0003466,              0.0003466,              0.0003466
                     68,                0.50364,                0.78465,                0.58953,                0.98505,                0.81531,                0.84392,                0.86932,                0.70868,                 0.8118,                0.83439,                0.86181,                0.71355,                0.82724,                 1.3194,                0.90837,                  1.287,              0.0003367,              0.0003367,              0.0003367
                     69,                0.50566,                0.79303,                0.59504,                0.98685,                0.82618,                0.78436,                0.86507,                0.70439,                0.84902,                0.75753,                0.86289,                0.70402,                 0.8205,                 1.2825,                0.99829,                 1.2839,              0.0003268,              0.0003268,              0.0003268
                     70,                0.51406,                0.81175,                0.58264,                0.98688,                0.87169,                0.77621,                0.86112,                0.69879,                0.87996,                0.76249,                0.85767,                0.70879,                0.79772,                 1.2875,                0.92132,                 1.2482,              0.0003169,              0.0003169,              0.0003169
