(냉)고등어,중국,400/500,CT/(BT),129,"35,000","31,000","34,100",2012-04-03,,,
(선)금태,부산(기장),35미,S/P,5,"80,000","80,000","80,000",2012-04-03,,,
(선)깐바지락,중국,5봉,box,15,"42,500","42,500","42,500",2012-04-03,,,
(선)넙치,제주도,중,S/P,9.5,"108,000","7,000","59,100",2012-04-03,,,
(선)돔,제주도,9미,S/P,17,"55,000","55,000","55,000",2012-04-03,,,
(선)만디,마산,소,box,639,"8,000","1,000","4,500",2012-04-03,,,
(선)명태,일본,중,S/P,20,"70,000","70,000","70,000",2012-04-03,,,
(냉)명태,(원양)러시아,6통,PAN(펜),150,"39,100","30,000","33,000",2012-04-03,,,
(선)복어,부산(기장),대,S/P,725,"6,000","6,000","6,000",2012-04-03,,,
(냉)아귀,중국,중,CT/(BT),10,"100,000","100,000","100,000",2012-04-03,,,
(활)오징어,후포,중,미(마리),800,"1,000","1,000","1,000",2012-04-03,,,
(선)은갈치,제주도,24미,S/P,1,"60,000","60,000","60,000",2012-04-03,,,
(활)점성어,중국,중,kg,215.3,"11,000","2,000","5,800",2012-04-03,,,
(선)쭈꾸미,보령,대,box,6,"50,000","45,000","45,800",2012-04-03,,,
(냉)참조기,제주도,130미,S/P,10,"70,000","70,000","70,000",2012-04-03,,,
(선)학꽁치,포항,중,c/s(상자),10,"80,000","80,000","80,000",2012-04-03,,,
(선)홍어,중국,12미,S/P,7,"100,000","100,000","100,000",2012-04-03,,,
(선)홍어,중국,4미,S/P,3,"130,000","130,000","130,000",2012-04-03,,,
(활)개조개,중국,대,box,50,"38,000","38,000","38,000",2012-04-03,,,
(냉)고등어,(원양)노르웨이,400/500,CT/(BT),80,"70,000","70,000","70,000",2012-04-03,,,
(선)깐바지락,순천,2봉,box,31,"21,000","21,000","21,000",2012-04-03,,,
(선)깐바지락,인천,소,box,7,"7,000","7,000","7,000",2012-04-03,,,
(선)낙지,중국,15미,box,10,"41,000","41,000","41,000",2012-04-03,,,
(선)다랑어,죽변,1미,S/P,27.9,"12,000","12,000","12,000",2012-04-03,,,
(선)대구,방어진,5미,S/P,12.3,"8,000","8,000","8,000",2012-04-03,,,
(선)대구,중국,중,S/P,3,"45,000","45,000","45,000",2012-04-03,,,
(활)멍게,통영,소,box,1,"4,000","4,000","4,000",2012-04-03,,,
(선)멸치,제주도,소,S/P,319,"12,000","10,000","11,400",2012-04-03,,,
(선)명태,러시아,S,S/P,216,"50,000","50,000","50,000",2012-04-03,,,
(냉)명태,(원양)러시아,7통,PAN(펜),255,"29,700","13,000","22,000",2012-04-03,,,
(선)문어,속초,대,S/P,5,"205,000","100,000","149,600",2012-04-03,,,
(선)민어,제주도,2미,S/P,9,"40,000","35,000","36,700",2012-04-03,,,
(선)백조기,제주도,11미,S/P,1,"50,000","50,000","50,000",2012-04-03,,,
(선)삼치,여수,중,S/P,20,"10,000","10,000","10,000",2012-04-03,,,
(냉)서대,라스팔마스,P,CT/(BT),20,"90,000","90,000","90,000",2012-04-03,,,
(활)전복,완도,30미,kg,21.7,"22,000","21,000","21,500",2012-04-03,,,
(활)전복,완도,12/13미,kg,44.6,"37,000","36,000","36,600",2012-04-03,,,
(활)참돔,충무,중,kg,30.9,"30,000","15,000","23,800",2012-04-03,,,
(선)낙지,중국,8미,box,31,"30,000","30,000","30,000",2012-04-03,,,
(활)농어,충무,중,kg,13.9,"17,000","17,000","17,000",2012-04-03,,,
(활)도다리,격포,중,kg,4.1,"8,000","8,000","8,000",2012-04-03,,,
(선)돔,부산(기장),대,S/P,23.6,"100,000","5,000","10,200",2012-04-03,,,
(선)만디,마산,7봉,box,25,"18,900","17,500","18,300",2012-04-03,,,
(냉)밀복,기타(원양),중,kg,30,"5,000","5,000","5,000",2012-04-03,,,
(선)병어,부산(기장),4단,S/P,1,"150,000","150,000","150,000",2012-04-03,,,
(선)병어,통영,중,S/P,24,"25,000","25,000","25,000",2012-04-03,,,
(선)분홍새우,속초,중,CT/(BT),150,"6,500","5,000","5,500",2012-04-03,,,
(냉)삼치,부산(기장),3단,CT/(BT),200,"56,000","56,000","56,000",2012-04-03,,,
(선)아귀,삼천포,대,S/P,3,"150,000","120,000","140,000",2012-04-03,,,
(선)우럭,보령,중,S/P,11,"20,000","20,000","20,000",2012-04-03,,,
(선)잡어,삼천포,중,S/P,1,"5,000","5,000","5,000",2012-04-03,,,
(활)전복,완도,14미,kg,109.2,"33,000","30,000","30,900",2012-04-03,,,
(활)진주담치,여수,중,그물망,100,"7,000","7,000","7,000",2012-04-03,,,
(활)진주담치,마산,중,그물망,63,"18,000","6,000","9,600",2012-04-03,,,
(선)해남,속초,중,S/P,60,"7,000","7,000","7,000",2012-04-03,,,
(활)해삼,완도,중,kg,10,"16,500","16,500","16,500",2012-04-03,,,
(냉)흰밀복,기타(원양),중,CT/(BT),7,"30,000","30,000","30,000",2012-04-03,,,
(활)가무락,중국,대,포,36,"57,000","15,000","22,000",2012-04-03,,,
(선)가자미,속초,9미,S/P,29,"4,000","4,000","4,000",2012-04-03,,,
(활)감숭어,완도,중,kg,540.1,"7,000","1,000","3,500",2012-04-03,,,
(선)감숭어,부산(기장),중,S/P,31,"3,000","3,000","3,000",2012-04-03,,,
(선)고등어,부산(기장),42미,S/P,200,"17,000","16,000","16,500",2012-04-03,,,
(냉)고등어,부산(기장),36미,CT/(BT),20,"24,000","24,000","24,000",2012-04-03,,,
(선)금태,제주도,15미,S/P,3,"34,000","34,000","34,000",2012-04-03,,,
(선)넙치,제주도,중,kg,50.4,"10,000","6,000","8,700",2012-04-03,,,
(활)도다리,나로도,중,kg,26.5,"15,000","8,000","11,700",2012-04-03,,,
(선)멸치,제주도,중,S/P,28,"10,000","10,000","10,000",2012-04-03,,,
(가공)명태포,중국,중,CT/(BT),50,"46,000","46,000","46,000",2012-04-03,,,
(냉)부세,중국,200/300,CT/(BT),49,"28,900","28,900","28,900",2012-04-03,,,
(선)삼치,삼천포,2미,S/P,8,"80,000","80,000","80,000",2012-04-03,,,
(선)새치,속초,16미,S/P,25,"7,000","7,000","7,000",2012-04-03,,,
(선)아귀,중국,8미,S/P,12,"15,000","15,000","15,000",2012-04-03,,,
(선)아귀,보령,중,c/s(상자),9,"45,000","45,000","45,000",2012-04-03,,,
(활)전복,완도,19미,kg,22.7,"25,000","25,000","25,000",2012-04-03,,,
(선)참돔,통영,중,S/P,22.9,"17,000","17,000","17,000",2012-04-03,,,
(활)참숭어,여수,중,kg,866.6,"10,000",200,"3,400",2012-04-03,,,
(선)홍어,중국,3미,S/P,5,"130,000","130,000","130,000",2012-04-03,,,
(선)간재미,서산,중,kg,192,"9,000","3,500","4,900",2012-04-03,,,
(활)겉바지락,삼천포,대,그물망,55,"60,000","35,000","53,200",2012-04-03,,,
(선)고등어,부산(기장),40미,S/P,270,"16,000","16,000","16,000",2012-04-03,,,
(냉)고등어,부산(기장),85미,CT/(BT),70,"37,000","37,000","37,000",2012-04-03,,,
(냉)고등어,부산(기장),70미,CT/(BT),40,"30,000","30,000","30,000",2012-04-03,,,
(냉)고등어,(원양)노르웨이,300/400,CT/(BT),180,"60,000","60,000","60,000",2012-04-03,,,
(선)낙지,중국,11미,box,98,"46,000","36,000","36,900",2012-04-03,,,
(활)농어,중국,중,kg,418.2,"18,000","5,500","11,800",2012-04-03,,,
(활)대게,러시아,중,kg,"1,647.6","24,500","5,500","21,800",2012-04-03,,,
(선)대구,중국,7미,S/P,276,"46,500","30,000","34,100",2012-04-03,,,
(선)도다리,보령,대,S/P,28,"20,000","20,000","20,000",2012-04-03,,,
(활)바위굴,삼천포,대,box,45,"16,000","16,000","16,000",2012-04-03,,,
(선)삼치,삼천포,10미,S/P,18,"15,000","12,000","13,800",2012-04-03,,,
(선)은갈치,제주도,3미,S/P,14,"155,000","135,000","136,600",2012-04-03,,,
(활)전복,완도,8미,kg,11.3,"66,000","66,000","66,000",2012-04-03,,,
(활)전복,완도,15/16미,kg,77.8,"30,000","27,000","28,100",2012-04-03,,,
(활)전복,완도,13/14미,kg,138.5,"34,000","28,000","31,300",2012-04-03,,,
(냉)조기,중국,75미,CT/(BT),30,"8,000","8,000","8,000",2012-04-03,,,
(선)쭈꾸미,장항,10코,box,56,"15,000","8,000","10,800",2012-04-03,,,
(활)참숭어,격포,중,kg,78.1,"11,000","1,500","8,200",2012-04-03,,,
(활)개조개,중국,대,포,94,"43,000","34,000","36,400",2012-04-03,,,
(냉)금밀복,기타(원양),중,CT/(BT),3,"30,000","30,000","30,000",2012-04-03,,,
(선)깐바지락,삼천포,대,box,38,"80,000","80,000","80,000",2012-04-03,,,
(선)낙지,중국,16미,box,68,"46,000","44,000","44,400",2012-04-03,,,
(선)만디,마산,5봉,box,4,"12,500","12,500","12,500",2012-04-03,,,
