(선)볼락,나로도,5미,S/P,1,"22,000","22,000","22,000",2023-05-17
(활)소라,보령,중,그물망,26,"75,300","51,200","64,100",2023-05-17
(선)아귀,남해,4미,S/P,2,"3,000","3,000","3,000",2023-05-17
(활)암꽃게,보령,소,kg,10,"22,000","22,000","22,000",2023-05-17
(선)연자돔,제주도,23미,S/P,1,"100,000","100,000","100,000",2023-05-17
(선)왕게,노르웨이,중,kg,4.6,"8,000","2,000","4,200",2023-05-17
(선)은갈치,제주도,중,S/P,1,"22,000","22,000","22,000",2023-05-17
(활)전복,완도,25미,kg,33.6,"14,000","10,000","12,000",2023-05-17
(활)참돔,대천,중,kg,622.7,"16,000","1,000","7,600",2023-05-17
(냉)참조기,제주도,180미,CT/(BT),40,"127,500","127,500","127,500",2023-05-17
(선)학꽁치,군산,30미,S/P,19,"8,000","8,000","8,000",2023-05-17
(활)해삼,삼천포,소,box,10,"27,000","22,000","22,500",2023-05-17
(선)낙지,중국,32미,box,8,"13,000","13,000","13,000",2023-05-17
(활)넙치,완도,중,kg,24.7,"29,500","28,000","28,400",2023-05-17
(활)넙치,제주도,중,kg,295.1,"27,500","20,500","22,100",2023-05-17
(활)농어,인천,중,kg,14.6,"11,000","6,000","8,400",2023-05-17
(선)멸치,남해,대,S/P,39,"17,000","14,000","14,800",2023-05-17
(선)문어,부산(기장),대,S/P,1,"17,000","17,000","17,000",2023-05-17
(냉)부세,중국,5미,CT/(BT),30,"28,500","28,500","28,500",2023-05-17
(활)수꽃게,태안,중,kg,39,"14,000","10,000","12,400",2023-05-17
(활)암꽃게,대천,대,kg,110,"35,500","35,500","35,500",2023-05-17
(선)연자돔,제주도,17미,S/P,2,"105,000","105,000","105,000",2023-05-17
(냉)오징어,중국,300/400,CT/(BT),100,"66,400","66,400","66,400",2023-05-17
(선)은갈치,제주도,파치,S/P,1,"40,000","40,000","40,000",2023-05-17
(선)잡어,목포,4미,S/P,67,"7,000","2,500","5,500",2023-05-17
(활)전복,완도,35미,kg,19.7,"8,000","8,000","8,000",2023-05-17
(활)전복,완도,4미,kg,3.3,"112,000","112,000","112,000",2023-05-17
(활)전복,완도,5미,kg,4.7,"88,000","83,000","85,900",2023-05-17
(선)참돔,남해,대,S/P,2,"10,000","10,000","10,000",2023-05-17
(활)칡게,순천,소,그물망,94,"30,600","12,300","20,600",2023-05-17
(선)키조개,보령,6코,box,5,"76,500","45,500","57,900",2023-05-17
(선)홍어,방어진,4미,S/P,102.4,"5,500","3,500","4,000",2023-05-17
(활)가무락,인천,중,그물망,25,"100,000","85,100","93,900",2023-05-17
(선)간재미,목포,대,S/P,48,"1,200",200,900,2023-05-17
(선)갈치,보령,중,kg,15,"58,000","15,000","33,500",2023-05-17
(활)개조개,통영,21미,box,1,"78,500","78,500","78,500",2023-05-17
(선)깐멍게,통영,대,box,10,"25,000","22,100","22,400",2023-05-17
(활)낙지,보령,29미,미(마리),29,"3,000","3,000","3,000",2023-05-17
(활)넙치,서천,중,kg,"1,928.7","18,000",500,"7,600",2023-05-17
(활)넙치,대천,중,kg,"1,968.4","12,000","1,000","5,200",2023-05-17
(선)대게,러시아,중,kg,141.5,"20,000",500,"9,000",2023-05-17
(선)백조기,통영,중,S/P,1,"5,000","5,000","5,000",2023-05-17
(활)소라,대천,중,그물망,21,"56,200","25,500","45,200",2023-05-17
(활)수꽃게,격포,중,kg,11,"8,000","7,500","7,800",2023-05-17
