(활)방어,제주도,중,kg,24.4,"10,000","7,000","8,000",2024-04-03
(선)방어,여수,대,S/P,241.6,"2,500","2,500","2,500",2024-04-03
(선)삼치,제주도,8미,S/P,1,"184,500","184,500","184,500",2024-04-03
(활)소라,보령,소,그물망,1,"35,500","35,500","35,500",2024-04-03
(냉)은갈치,제주도,13미,S/P,2,"320,000","320,000","320,000",2024-04-03
(활)전복,완도,5/6미,kg,46.7,"33,000","32,500","32,600",2024-04-03
(활)전복,완도,16미,kg,11.9,"17,000","17,000","17,000",2024-04-03
(활)전복,완도,16/17미,kg,133.4,"17,000","16,000","16,700",2024-04-03
(활)전복,완도,20미,kg,104.2,"16,000","16,000","16,000",2024-04-03
(선)쭈꾸미,중국,16미,box,15,"21,500","21,500","21,500",2024-04-03
(선)참가자미,군산,대,S/P,1,"50,000","50,000","50,000",2024-04-03
(선)가오리,포항,대,S/P,3,"50,000","50,000","50,000",2024-04-03
(선)다랑어,임원,대,S/P,1,"160,000","160,000","160,000",2024-04-03
(활)바위굴,여수,중,그물망,33,"8,200","4,500","6,700",2024-04-03
(선)복어,제주도,중,kg,17.2,"2,000","2,000","2,000",2024-04-03
(냉)부세,중국,150/200,CT/(BT),200,"23,900","23,900","23,900",2024-04-03
(선)삼치,완도,중,S/P,2,"130,000","130,000","130,000",2024-04-03
(선)삼치,포항,2미,S/P,2,"100,000","100,000","100,000",2024-04-03
(선)삼치,축산,대,S/P,1,"44,000","44,000","44,000",2024-04-03
(선)아귀,보령,3미,S/P,6,"16,000","16,000","16,000",2024-04-03
(선)은갈치,제주도,5미,S/P,12,"190,000","181,000","189,300",2024-04-03
(선)은갈치,제주도,10미,S/P,14,"186,000","120,000","162,400",2024-04-03
(활)전복,완도,14/15미,kg,169.1,"20,000","17,000","18,300",2024-04-03
(활)전복,완도,19/20미,kg,182.5,"16,500","15,000","15,700",2024-04-03
(선)쭈꾸미,중국,22미,box,204,"23,300","21,000","21,400",2024-04-03
(선)쭈꾸미,중국,21미,box,410,"23,700","22,600","23,100",2024-04-03
(선)쭈꾸미,중국,10미,box,260,"21,700","21,700","21,700",2024-04-03
(선)참조기,제주도,40미,S/P,2,"350,000","350,000","350,000",2024-04-03
(선)참조기,제주도,50미,S/P,1,"1,250,000","1,250,000","1,250,000",2024-04-03
(활)토바지락,중국,중,box,25,"4,200","3,200","3,500",2024-04-03
(선)통치,제주도,중,S/P,13,"100,000","95,000","96,900",2024-04-03
(활)감성돔,서천,중,kg,4.8,"8,000","8,000","8,000",2024-04-03
(활)능성어,일본,중,kg,6.9,"25,000","11,000","18,800",2024-04-03
(활)물바지락,여수,대,box,37,"78,800","40,000","45,500",2024-04-03
(활)바위굴,통영,대,box,5,"9,500","9,500","9,500",2024-04-03
(활)백합,군산,중,그물망,12,"128,000","125,300","126,900",2024-04-03
(활)백합,중국,대,포,10,"45,000","40,300","42,700",2024-04-03
(냉)부세,중국,7미,CT/(BT),20,"25,900","25,900","25,900",2024-04-03
(선)분홍새우,속초,대,S/P,3,"125,000","125,000","125,000",2024-04-03
(선)붕장어,포항,2미,S/P,15.5,"7,000","7,000","7,000",2024-04-03
(선)삼치,강구,5미,S/P,1,"5,000","5,000","5,000",2024-04-03
(활)새꼬막,벌교,중,그물망,10,"17,500","17,500","17,500",2024-04-03
(활)수꽃게,태안,대,kg,22,"17,000","14,000","16,700",2024-04-03
(활)암꽃게,태안,소소,kg,16,"12,000","12,000","12,000",2024-04-03
(냉)염고등어,노르웨이,특대,CT/(BT),80,"40,000","40,000","40,000",2024-04-03
